name,pref,city,district,latitude,longitude,urban_point,in_mesh_point,is_island
問寒別線 炭鉱駅 (~1958),北海道,幌延町,字上問寒,45.052886,142.063742,165.36427323051504,,False
問寒別線 二十線駅 (~1971),北海道,幌延町,字上問寒,45.04195,142.081955,171.8121094703057,,False
問寒別線 十六線駅 (~1971),北海道,幌延町,字上問寒,45.01333,142.07916,183.44505450331607,,False
幌沼線 駒形駅 (~1965),北海道,豊富町,字豊幌,45.124283,141.897754,201.41869362305513,,False
天北線 周麿駅 (~1989),北海道,中頓別町,字松音知,44.914034,142.210543,206.5127822041292,,False
幌沼線 北沢駅 (~1965),北海道,豊富町,字本流,45.106652,141.902235,207.5609986491242,,False
天北線 天北栄駅 (~1965),北海道,中頓別町,字栄,44.822607,142.268607,209.42006266323887,,False
歌登線 毛登別駅 (~1971),北海道,枝幸町,歌登毛登別,44.823329,142.347765,211.01084669191738,6742128744,False
問寒別線 八線駅 (~1971),北海道,幌延町,字中問寒,44.980101,142.069532,212.48636838582684,6742307541,False
歌登線 吉田駅 (~1971),北海道,枝幸町,歌登毛登別,44.824106,142.331815,213.40753204141154,,False
歌登線 大島駅 (~1971),北海道,枝幸町,歌登毛登別,44.828403,142.352729,216.98386238912033,,False
宗谷線 神路駅 (~1977),北海道,中川町,字神路,44.7425,142.13849,221.165854412925,,False
宗谷線 上雄信内駅 (~2001),北海道,天塩町,辰子丑,44.90777,141.96182,221.51786772765016,,False
歌登線 柴山駅 (~1971),北海道,枝幸町,歌登毛登別,44.827492,142.390755,222.05563920264888,,False
天北線 恵野駅 (~1989),北海道,中頓別町,字上頓別,44.862969,142.251285,223.50937291822493,,False
幌沼線 本流駅 (~1965),北海道,幌延町,字北進,45.082991,141.880454,228.9606547751579,6741479034,False
天北線 上音威子府駅 (~1989),北海道,音威子府村,字音威子府,44.774322,142.254381,230.07323014896738,,False
幌沼線 上福永駅 (~1965),北海道,豊富町,字有明,45.138943,141.874597,230.28431789242268,,False
幌別線 北志美宇丹駅 (~1969),北海道,枝幸町,歌登志美宇丹,44.77785,142.558769,230.38173624643596,6742143423,False
歌登線 熊の沢駅 (~1971),北海道,枝幸町,歌登毛登別,44.824363,142.40039,232.56629592929292,,False
問寒別線 宗谷駅 (~1971),北海道,幌延町,字問寒別,44.935561,142.044725,235.03478521766976,,False
勇知線 下勇知駅 (~1957),北海道,稚内市,大字抜海村字下勇知,45.245012,141.609902,235.0970509934739,,False
本幌別線 本幌別駅 (~1955),北海道,枝幸町,歌登本幌別,44.765151,142.377442,236.27628059604194,6742131033,False
天北線 松音知駅 (~1989),北海道,中頓別町,字松音知,44.938065,142.224529,236.38387272269983,6742312742,False
天北線 山軽駅 (~1989),北海道,浜頓別町,クッチャロ湖畔,45.160264,142.305652,238.73677892360615,,False
本幌別線 滝ノ上駅 (~1955),北海道,枝幸町,歌登中央,44.799897,142.393447,246.76663093381447,6742135134,False
斜里線 幌泊駅 (~1953),北海道,斜里町,字峰浜,43.94316,144.827685,247.8313535296675,,False
天北線 芦野駅 (~1989),北海道,猿払村,芦野,45.303917,142.178945,248.33117169560762,,False
本幌別線 旭岡駅 (~1955),北海道,枝幸町,歌登中央,44.802016,142.418618,250.50331464910383,,False
風蓮線 風蓮駅 (~1963),北海道,根室市,西厚床,43.249516,145.200645,250.95290179283884,,False
問寒別線 四線駅 (~1971),北海道,幌延町,字中問寒,44.966177,142.054953,257.4284743241194,6742305434,False
