name,pref,city,district,latitude,longitude,urban_point,in_mesh_point,is_island
問寒別線 炭鉱駅 (~1958),北海道,幌延町,字上問寒,45.052886,142.063742,178.36913550608978,,False
問寒別線 二十線駅 (~1971),北海道,幌延町,字上問寒,45.04195,142.081955,184.9681496360265,,False
問寒別線 十六線駅 (~1971),北海道,幌延町,字上問寒,45.01333,142.07916,197.82171430316242,,False
幌沼線 駒形駅 (~1965),北海道,豊富町,字豊幌,45.124283,141.897754,219.7668845859124,,False
天北線 周麿駅 (~1989),北海道,中頓別町,字松音知,44.914034,142.210543,223.0495012846888,,False
天北線 天北栄駅 (~1965),北海道,中頓別町,字栄,44.822607,142.268607,224.73037272999125,,False
幌沼線 北沢駅 (~1965),北海道,豊富町,字本流,45.106652,141.902235,225.6856690974094,,False
歌登線 毛登別駅 (~1971),北海道,枝幸町,歌登毛登別,44.823329,142.347765,228.02000989676978,6742128744,False
歌登線 吉田駅 (~1971),北海道,枝幸町,歌登毛登別,44.824106,142.331815,231.37952333608513,,False
問寒別線 八線駅 (~1971),北海道,幌延町,字中問寒,44.980101,142.069532,232.75681805293073,6742307541,False
歌登線 大島駅 (~1971),北海道,枝幸町,歌登毛登別,44.828403,142.352729,235.02963643039504,,False
宗谷線 神路駅 (~1977),北海道,中川町,字神路,44.7425,142.13849,236.59658950642472,,False
天北線 恵野駅 (~1989),北海道,中頓別町,字上頓別,44.862969,142.251285,241.06977087904764,,False
宗谷線 上雄信内駅 (~2001),北海道,天塩町,辰子丑,44.90777,141.96182,242.10843182978493,,False
天北線 上音威子府駅 (~1989),北海道,音威子府村,字音威子府,44.774322,142.254381,243.2791416945176,,False
歌登線 柴山駅 (~1971),北海道,枝幸町,歌登毛登別,44.827492,142.390755,243.74130623543414,,False
勇知線 下勇知駅 (~1957),北海道,稚内市,大字抜海村字下勇知,45.245012,141.609902,247.62193775205424,,False
幌沼線 上福永駅 (~1965),北海道,豊富町,字有明,45.138943,141.874597,248.32056705145277,,False
幌別線 北志美宇丹駅 (~1969),北海道,枝幸町,歌登志美宇丹,44.77785,142.558769,248.95959880344986,6742143423,False
幌沼線 本流駅 (~1965),北海道,幌延町,字北進,45.082991,141.880454,250.70799343759808,6741479034,False
問寒別線 宗谷駅 (~1971),北海道,幌延町,字問寒別,44.935561,142.044725,252.74472297339207,,False
本幌別線 本幌別駅 (~1955),北海道,枝幸町,歌登本幌別,44.765151,142.377442,252.81462400774348,6742131033,False
歌登線 熊の沢駅 (~1971),北海道,枝幸町,歌登毛登別,44.824363,142.40039,256.9283143973343,,False
天北線 松音知駅 (~1989),北海道,中頓別町,字松音知,44.938065,142.224529,262.3812899820908,6742312742,False
天北線 山軽駅 (~1989),北海道,浜頓別町,クッチャロ湖畔,45.160264,142.305652,267.0477556502173,,False
本幌別線 滝ノ上駅 (~1955),北海道,枝幸町,歌登中央,44.799897,142.393447,269.46865058303064,6742135134,False
問寒別線 四線駅 (~1971),北海道,幌延町,字中問寒,44.966177,142.054953,272.28802179064786,6742305434,False
本幌別線 旭岡駅 (~1955),北海道,枝幸町,歌登中央,44.802016,142.418618,274.1966978658959,,False
幌別線 林内駅 (~1969),北海道,枝幸町,歌登辺毛内,44.792136,142.518968,274.7063787010685,,False
幌沼線 天興駅 (~1965),北海道,稚内市,大字声問村字天興,45.188776,141.877604,275.34159064645166,6741672031,False
天北線 芦野駅 (~1989),北海道,猿払村,芦野,45.303917,142.178945,275.7012773845782,,False
羽幌線 共成駅 (~1987),北海道,初山別村,字共成,44.623331,141.804583,276.8848360870371,,False
本幌別線 川添駅 (~1955),北海道,枝幸町,歌登中央,44.790631,142.384668,278.85190877577935,,False
仁宇布線 三十線駅 (~1963),北海道,美深町,字仁宇布,44.578998,142.586119,282.8266579965302,,False
幌沼線 南沢駅 (~1965),北海道,幌延町,字北進,45.063171,141.873106,284.1184080988047,,False
幌沼線 豊別駅 (~1965),北海道,稚内市,大字声問村字川南,45.223421,141.878564,287.8997154733961,6741676034,False
