name,pref,city,district,latitude,longitude,urban_point,in_mesh_point,is_island
平島小学校,鹿児島県,十島村,大字平島,29.689042,129.530454,161.48910044354128,4429442232,True
金岳小学校,鹿児島県,屋久島町,口永良部島,30.465675,130.193125,239.52545249155725,,True
芦野小学校,北海道,猿払村,芦野,45.299704,142.182094,244.77381252705274,6742715443,False
須子茂小学校（休校中）,鹿児島県,瀬戸内町,大字実久,28.147645,129.210531,264.02665434234535,4229117642,True
黒島小学校,沖縄県,竹富町,字黒島,24.241649,124.007141,297.6335277038616,,True
管鈍小学校（休校中）,鹿児島県,宇検村,大字阿室,28.22811,129.195528,302.9477546501706,4229217523,True
池地小学校,鹿児島県,瀬戸内町,大字請阿室,28.029821,129.238813,328.9630310872635,,True
鳩間小学校,沖縄県,竹富町,字鳩間,24.469506,123.824756,365.9431767723464,3623566524,True
高知小学校,北海道,厚岸町,若松,43.156808,144.91113,378.19134779195036,,False
仁宇布小学校,北海道,美深町,字仁宇布,44.55068921527064,142.57444272358887,388.1878617907405,6642646522,False
薩川小学校,鹿児島県,瀬戸内町,大字実久,28.180282,129.202668,389.61080416985897,4229211631,True
久志小学校,鹿児島県,宇検村,大字久志,28.286828,129.233193,440.89305248346125,4229314823,True
浅茅野小学校,北海道,浜頓別町,字共和,45.20846313716465,142.23240467925248,445.8308427717119,6742615821,False
平島小学校諏訪之瀬島分校,鹿児島県,十島村,大字諏訪之瀬島,29.611303,129.698775,474.8725016842116,4429353524,True
北国小学校,沖縄県,国頭村,字辺戸,26.86057,128.248658,494.7859190552286,4028213924,False
船浮小学校,沖縄県,竹富町,字西表,24.339162,123.728565,500.89795695622803,3623450832,True
沖の島小学校,高知県,宿毛市,沖の島町母島,32.738876,132.556036,509.92581846591287,,True
住用小学校,鹿児島県,奄美市,大字役勝字下役勝,28.255084,129.400814,512.8738039544893,,True
古見小学校,沖縄県,竹富町,字南風見仲,24.318987,123.906957,521.996325671675,3623378223,True
西竹小学校,北海道,中標津町,字西竹,43.563889,144.810318,573.0143707013306,6544267442,False
宝島小学校小宝島分校,鹿児島県,十島村,大字小宝島,29.222178,129.328422,578.5938243205351,4329626632,True
押角小学校（休校中）,鹿児島県,瀬戸内町,大字花富,28.113593,129.27164,586.8347385107246,4229123141,True
風烈布小学校,北海道,枝幸町,乙忠部,44.74256,142.76036,603.4686991749924,6742069022,False
中之島小学校,鹿児島県,十島村,大字中之島,29.832893,129.854284,605.7953254267507,4429569834,True
左股小学校（休校中）,北海道,せたな町,北檜山区富里,42.313888154734514,139.95381849151414,617.4650652222808,6339377632,False
沼幌小学校,北海道,標茶町,（沼幌）,43.282223,144.489877,641.5568724002181,6444733933,False
滝西小学校,北海道,滝上町,滝西,44.115692860041236,143.00859492829898,642.5328598972953,6643103043,False
岡島小学校,北海道,枝幸町,岡島,44.874778540894596,142.63183158018688,645.1496335683415,,False
北門小学校,北海道,上士幌町,字居辺,43.26745842574665,143.38498388396263,658.3234466622339,,False
悪石島小学校,鹿児島県,十島村,大字悪石島,29.450877752489465,129.60437891132722,660.1712963147905,4429144812,True
平久保小学校,沖縄県,石垣市,字平久保,24.586366,124.31044,668.119211420413,3624720424,True
焼尻小学校,北海道,羽幌町,大字焼尻字豊崎,44.44407092258845,141.41580033442983,678.9572236078487,6641533314,True
奥春別小学校,北海道,弟子屈町,字鐺別原野,43.47124525327744,144.39954078489697,693.4161005775962,6544136142,False
茶路小学校,北海道,白糠町,和天別,43.02498,144.0224,702.7069148613195,6444402144,False
鴻峰小学校（休校中）,鹿児島県,西之表市,安城,30.609103,130.99756,704.1537257629719,4530773922,True
武佐小学校,北海道,中標津町,字武佐,43.623496,144.961858,721.0979318480574,6544374644,False
神崎小学校,北海道,礼文町,大字船泊村字ハマナカ,45.430669,141.010839,730.849119966853,6841101042,True
滝下小学校（休校中）,北海道,滝上町,滝下,44.21025846158855,143.16544322331228,737.6600631947944,6643215311,False
小倉山小学校,北海道,今金町,字鈴岡,42.484673,139.967306,737.8545391569155,,False
中御卒別小学校,北海道,標茶町,（御卒別）,43.327353,144.48144,738.4232175232189,6444739823,False
別海小学校,北海道,別海町,本別海,43.377649,145.285173,742.5388198405636,6545025224,False
大誉地小学校,北海道,足寄町,大誉地本町,43.388598,143.677929,745.0846070139845,6543056431,False
野甫小学校,沖縄県,伊平屋村,字野甫,26.994381,127.923371,746.6645406500259,4027379324,True
和琴小学校,北海道,弟子屈町,字屈斜路原野,43.568736,144.30547,750.6753564413673,6544228414,False
日振島小学校,愛媛県,宇和島市,日振島,33.168601,132.290269,751.9574053484718,4932620311,True
螺湾小学校,北海道,足寄町,螺湾本町,43.30658,143.707816,760.4770269450114,6443756643,False
平成小学校,長崎県,五島市,玉之浦町中須,32.639402,128.683171,773.9834137832091,,True
竹島小学校,鹿児島県,三島村,大字竹島,30.814476,130.417229,775.9053947705199,4630137332,True
中徹別小学校,北海道,釧路市,阿寒町徹別中央,43.20048737583425,144.14311013629856,775.9602795310127,6444614112,False
里平小学校,北海道,新冠町,字里平,42.554751,142.395029,776.0184563107309,6342636141,False
海星小学校,北海道,根室市,幌茂尻,43.27912,145.518686,778.5740960829261,,False
椛島小学校,長崎県,五島市,伊福貴町,32.75725908084949,128.98924632457923,784.7994788145522,4928170933,True
共栄小学校,北海道,雄武町,開生,44.55303,142.979721,795.4358151579708,6642676814,False
市小学校,鹿児島県,奄美市,大字市,28.227658,129.454278,797.9328225874694,4229237614,True
美利河小学校,北海道,今金町,字宮島,42.478561,140.201126,802.7340857127422,6340517613,False
片泊小学校,鹿児島県,三島村,大字黒島,30.832384,129.910411,802.7403080708773,4629179244,True
宮津小学校,北海道,奥尻町,字宮津,42.204289,139.544091,804.7807933642827,6339244341,True
瑞穂小学校,北海道,北見市,瑞穂,43.88863284158231,143.63361991790615,814.1212310900025,6543656041,False
開陽小学校,北海道,中標津町,北中,43.598469,144.910642,817.9436291873849,6544371244,False
馬場川小学校,北海道,せたな町,瀬棚区元浦,42.481503,139.872976,848.9578528603352,6339567944,False
竹ケ島小学校,愛媛県,宇和島市,津島町竹ケ島,33.107511,132.415527,849.9057964728095,4932532333,True
富村牛小学校,北海道,新得町,字屈足,43.333942,142.946741,852.1392317640144,6542070521,False
下居辺小学校,北海道,士幌町,字下居辺,43.122422,143.373605,855.6744379598996,6443524942,False
茶内第一小学校,北海道,浜中町,茶内西,43.172648,145.01581425943937,862.646515480322,,False
