name,pref,city,district,latitude,longitude,urban_point,in_mesh_point,is_island
平島小学校,鹿児島県,十島村,大字平島,29.689042,129.530454,170.1358990883189,4429442232,True
芦野小学校,北海道,猿払村,芦野,45.299704,142.182094,220.1983324917715,6742715443,False
金岳小学校,鹿児島県,屋久島町,口永良部島,30.465675,130.193125,243.46064003994175,,True
須子茂小学校（休校中）,鹿児島県,瀬戸内町,大字実久,28.147645,129.210531,283.10121012914874,4229117642,True
高知小学校,北海道,厚岸町,若松,43.156808,144.91113,323.9877180963957,,False
管鈍小学校（休校中）,鹿児島県,宇検村,大字阿室,28.22811,129.195528,332.7929292102574,4229217523,True
黒島小学校,沖縄県,竹富町,字黒島,24.241649,124.007141,341.8861009199854,,True
仁宇布小学校,北海道,美深町,字仁宇布,44.55068921527064,142.57444272358887,363.05000555993763,6642646522,False
池地小学校,鹿児島県,瀬戸内町,大字請阿室,28.029821,129.238813,364.92983647787224,,True
浅茅野小学校,北海道,浜頓別町,字共和,45.20846313716465,142.23240467925248,379.0302322504351,6742615821,False
薩川小学校,鹿児島県,瀬戸内町,大字実久,28.180282,129.202668,420.1322021363749,4229211631,True
鳩間小学校,沖縄県,竹富町,字鳩間,24.469506,123.824756,435.7037272179017,3623566524,True
久志小学校,鹿児島県,宇検村,大字久志,28.286828,129.233193,478.9986949962541,4229314823,True
西竹小学校,北海道,中標津町,字西竹,43.563889,144.810318,490.50432358766176,6544267442,False
船浮小学校,沖縄県,竹富町,字西表,24.339162,123.728565,513.3299217485154,3623450832,True
北国小学校,沖縄県,国頭村,字辺戸,26.86057,128.248658,521.1536273532753,4028213924,False
平島小学校諏訪之瀬島分校,鹿児島県,十島村,大字諏訪之瀬島,29.611303,129.698775,521.7295556697907,4429353524,True
沖の島小学校,高知県,宿毛市,沖の島町母島,32.738876,132.556036,524.7578458089237,,True
住用小学校,鹿児島県,奄美市,大字役勝字下役勝,28.255084,129.400814,549.3486696965526,,True
古見小学校,沖縄県,竹富町,字古見,24.318987,123.906957,549.7899728644447,3623378223,True
