name,pref,city,district,latitude,longitude,urban_point,in_mesh_point,is_island
セセキ温泉,北海道,羅臼町,相泊,44.177941846197164,145.3120311665762,102.46284684709258,,False
北の鼻地獄,東京都,小笠原村,硫黄島,24.810000036028196,141.32861119520592,103.52916406869075,,True
相泊温泉,北海道,羅臼町,相泊,44.18432823348095,145.31767509654762,103.59553150682292,,False
馬の背温泉,東京都,小笠原村,硫黄島,24.805833223271602,141.33527773284482,107.46266763490341,,True
為八温泉,東京都,小笠原村,硫黄島,24.807221952575233,141.31972179783455,117.47865020553145,,True
カムイワッカ・硫黄山,北海道,斜里町,大字遠音別村,44.15126410894767,145.13475297062172,122.01405917443921,,False
西表島温泉,沖縄県,竹富町,字高那,24.37868889312965,123.9063279650656,125.70385773597337,,True
摩訶,北海道,松前町,字小島,41.359099995677205,139.80429994763864,132.29139055884426,,False
沈船新温泉,東京都,小笠原村,硫黄島,24.774166835684575,141.29388877359355,140.70747401300315,,True
岩尾別温泉,北海道,斜里町,ウトロ東,44.11033897345177,145.08983866844042,144.86317332504956,6645103711,False
瀬良馬温泉,鹿児島県,十島村,大字口之島,29.955618245126505,129.92693090414352,151.86349477024706,,True
戸尻温泉,鹿児島県,十島村,大字口之島,29.955635022407996,129.92695186220536,151.8744604452732,,True
御岳,鹿児島県,十島村,大字中之島,29.85944393470034,129.85944383547584,161.89760404169985,,True
沈船温泉,東京都,小笠原村,硫黄島,24.77999971865947,141.29499986798658,162.05810852100925,,True
沈船脇,東京都,小笠原村,硫黄島,24.780000012591575,141.2950002368366,162.06166815744086,,True
陸嶺川鉱泉,北海道,羅臼町,峯浜町,43.9072500676244,145.01023292124566,171.35233254968102,,False
陸志別川支流鉱泉,北海道,羅臼町,峯浜町,43.91518606077228,145.0275698628506,172.80727525334595,,False
陸志別川鉱泉,北海道,羅臼町,峯浜町,43.925071922516075,145.03014419911563,172.8693640134048,,False
幌内温泉2号井,北海道,奥尻町,字湯浜,42.19299992847998,139.4333002845996,174.00487585222902,,True
峰浜温泉,北海道,斜里町,字日の出,43.96694379228304,144.89805612525592,177.1014796750028,,False
オショバオマブ川温泉,北海道,斜里町,字日の出,43.96534711202753,144.89471399382973,178.2663070936796,,False
海別温泉,北海道,斜里町,字日の出,43.89013626164476,144.91003620797815,185.36794052779106,,False
崎無異川鉱泉,北海道,標津町,字薫別,43.84287197043243,144.9467391659949,185.9764908436991,,False
竜雲知床温泉,北海道,標津町,字崎無異,43.822918799232596,145.08269693293389,197.848839977034,6545508643,False
薫別温泉,北海道,標津町,字古多糠,43.7980031691678,144.9436332069043,200.1228365412181,,False
北飛行場池(北),東京都,小笠原村,硫黄島,24.7969438076757,141.3225001777099,204.64462052410033,,True
標津金山温泉,北海道,標津町,字川北,43.73837801689529,144.92343878413962,230.4818783746244,6544478342,False
ルベス温泉,北海道,標津町,字川北,43.73228122562428,144.8350782813695,230.69229051588079,,False
向江浜温泉,鹿児島県,屋久島町,口永良部島,30.45527822607945,130.19444373572676,241.11881310707116,,True
西の湯,鹿児島県,屋久島町,口永良部島,30.4725970554736,130.19604347243745,245.5030370363634,,True
遠別旭温泉,北海道,遠別町,南部旭,44.659989184006655,141.86038616810515,246.72848235841457,6641769822,False
(標津町),北海道,標津町,字川北,43.701735797035745,144.86537491448163,247.22983938790253,,False
湯向温泉,鹿児島県,屋久島町,口永良部島,30.45436692482347,130.24745810925495,248.0073234933465,,True
寝待温泉,鹿児島県,屋久島町,口永良部島,30.467911088120307,130.23344375610014,249.2029972729741,,True
斜里川ニノ沢鉱泉,北海道,清里町,字清泉,43.67947795921705,144.69982510042888,249.65873972557551,,False
俣落鉱泉,北海道,中標津町,字開陽,43.68055616633757,144.8208330251548,251.50876784139624,,False
天塩,北海道,天塩町,北川口,44.9394828569759,141.78261399628795,254.6462738806322,,False
川北温泉,北海道,標津町,字川北,43.702566825358495,144.9127312015031,259.3503123790344,,False
(遠別町),北海道,遠別町,南部旭,44.65952801734708,141.85551702666854,264.91922353360866,,False
越川温泉,北海道,斜里町,字富士,43.83429700964779,144.79219729434686,267.6693051099637,,False
神威脇1号井(奥尻町泉源),北海道,奥尻町,字湯浜,42.17159693899101,139.41055323671932,291.82338578823936,6339230242,True
養老牛温泉,北海道,中標津町,字養老牛,43.588001630411554,144.71431817767726,293.4090913186687,,False
上国鉱山,北海道,上ノ国町,字館野,41.670611009233255,140.04848898118962,296.4143179093323,,False
臼別温泉A,北海道,せたな町,大成区平浜,42.22984681175926,139.9186969399722,301.7355038898288,,False
貝取澗,北海道,せたな町,大成区貝取澗,42.19418301257164,139.928343968535,302.1502317577823,,False
湯の滝温泉,北海道,足寄町,茂足寄,43.36996400898883,143.97816872507937,323.7570300820755,,False
オンネトー湯の滝,北海道,足寄町,茂足寄,43.370049894796125,143.97829677234895,323.7846105142691,,False
飽別川上流部,北海道,釧路市,阿寒町飽別,43.3451608608539,144.03557502079033,326.2109229322241,,False
雌阿寒温泉(野中温泉),北海道,足寄町,茂足寄,43.39437004645129,143.98398497881809,326.37162010415557,6543077823,False
白水川上流部,北海道,釧路市,阿寒町飽別,43.36270612749048,144.053128206792,331.7751515059755,,False
千走温泉2号,北海道,島牧村,字賀老,42.64491691798079,140.04216694582968,334.16166151786234,6340707314,False
白水川(濁川上流),北海道,足寄町,茂足寄,43.41385624583517,143.9992250331181,335.1799173843598,,False
足寄白水川,北海道,足寄町,茂足寄,43.41380621097856,143.99946085326582,335.22193953464324,,False
白水川上流変質帯,北海道,釧路市,阿寒町阿寒湖温泉４丁目,43.37996376294101,144.047749931224,338.1979934899924,,False
砂湯,北海道,弟子屈町,字美留和,43.62435044388622,144.3598582090107,340.8211380768311,,False
池の湯,北海道,弟子屈町,字屈斜路,43.604866817147474,144.35763303568154,347.6346627209007,,False
ウグイ川上流部,北海道,釧路市,阿寒町阿寒湖温泉４丁目,43.397224745089936,144.0416670817134,347.92652738496287,,False
(置戸町),北海道,置戸町,常元,43.61386373683737,143.38050613632169,348.066256389781,6543333032,False
ピリカネップ白水川,北海道,釧路市,阿寒町阿寒湖温泉３丁目,43.38040619667739,144.10132792628468,351.46890300190785,,False
泊可鹿湯,北海道,島牧村,字豊平,42.629793901841154,140.10804199289453,351.58304903203276,,False
鹿の子温泉,北海道,置戸町,勝山,43.617732995662585,143.4422168420232,360.31035551551037,,False
見市温泉A,北海道,八雲町,熊石鮎川町,42.15539999238308,140.04107186308545,363.7306508887844,6340108332,False
鉛川,北海道,八雲町,鉛川,42.172781131232,140.1318687958964,380.86727145112997,,False
平田内,北海道,八雲町,熊石平町,42.1613688842814,139.99717206465758,382.00987777491775,,False
幌加温泉,北海道,上士幌町,字幌加,43.468438861346336,143.12382471058572,386.07451745415153,,False
歌登町源泉,北海道,枝幸町,歌登辺毛内,44.78555637737572,142.5172218895125,387.56574114379566,6742144114,False
開陽台温泉,北海道,中標津町,字開陽,43.62294679885042,144.883993949862,388.30450980877964,,False
和琴半島,北海道,弟子屈町,字屈斜路原野,43.58157789936961,144.3126720067502,388.3581907529885,,False
芽登温泉,北海道,足寄町,芽登,43.3905750684011,143.33315778985448,392.1234034453917,6543026643,False
ホテル緑館井,北海道,奥尻町,字湯浜,42.16545027970031,139.4133638882245,392.85218796010076,,True
見市,北海道,八雲町,熊石鮎川町,42.15726905774783,140.04428907922994,393.88930004715957,,False
新硫黄島温泉,鹿児島県,三島村,大字硫黄島,30.803611053015377,130.340277753103,400.7499889123277,,True
北平温泉,鹿児島県,三島村,大字硫黄島,30.79750013403905,130.30499987050794,401.8778285373558,,True
ウタン浜温泉,鹿児島県,三島村,大字硫黄島,30.80666668542229,130.3005562172126,402.7073205121146,,True
雄阿寒温泉,北海道,釧路市,阿寒町オクルシュベ,43.42210213757866,144.14282124924324,403.5706514139358,6544110132,False
フレベツ変質帯,北海道,釧路市,阿寒町阿寒湖温泉４丁目,43.40573090395861,144.06997782483634,406.8745715432387,,False
坂本温泉,鹿児島県,三島村,大字硫黄島,30.80246697673276,130.291275102937,407.40319535659097,,True
高原温泉,北海道,上川町,字層雲峡,43.618526938072215,142.96929319732882,421.1858626163192,,False
