name,pref,city,district,latitude,longitude,urban_point,in_mesh_point,is_island
北の鼻地獄,東京都,小笠原村,硫黄島,24.810000036028196,141.32861119520592,91.55582447840222,,True
馬の背温泉,東京都,小笠原村,硫黄島,24.805833223271602,141.33527773284482,94.91657329902804,,True
為八温泉,東京都,小笠原村,硫黄島,24.807221952575233,141.31972179783455,98.76572574340044,,True
西表島温泉,沖縄県,竹富町,字高那,24.37868889312965,123.9063279650656,105.3124019798756,,True
沈船新温泉,東京都,小笠原村,硫黄島,24.774166835684575,141.29388877359355,113.29420953781003,,True
沈船温泉,東京都,小笠原村,硫黄島,24.77999971865947,141.29499986798658,118.85645480063585,,True
沈船脇,東京都,小笠原村,硫黄島,24.780000012591575,141.2950002368366,118.85792503315213,,True
カムイワッカ・硫黄山,北海道,斜里町,大字遠音別村,44.15126410894767,145.13475297062172,132.8847676461516,,False
セセキ温泉,北海道,羅臼町,相泊,44.177941846197164,145.3120311665762,136.29936549964256,,False
摩訶,北海道,松前町,字小島,41.359099995677205,139.80429994763864,138.35707237298035,,False
瀬良馬温泉,鹿児島県,十島村,大字口之島,29.955618245126505,129.92693090414352,142.3690360912373,,True
戸尻温泉,鹿児島県,十島村,大字口之島,29.955635022407996,129.92695186220536,142.37687394157797,,True
北飛行場池(北),東京都,小笠原村,硫黄島,24.7969438076757,141.3225001777099,145.44606213458505,,True
御岳,鹿児島県,十島村,大字中之島,29.85944393470034,129.85944383547584,156.67424108276458,,True
岩尾別温泉,北海道,斜里町,ウトロ東,44.11033897345177,145.08983866844042,157.7489098268413,6645103711,False
陸嶺川鉱泉,北海道,羅臼町,峯浜町,43.9072500676244,145.01023292124566,189.08356754093248,,False
陸志別川支流鉱泉,北海道,羅臼町,峯浜町,43.91518606077228,145.0275698628506,189.8688360466782,,False
陸志別川鉱泉,北海道,羅臼町,峯浜町,43.925071922516075,145.03014419911563,190.08457113835684,,False
相泊温泉,北海道,羅臼町,相泊,44.18432823348095,145.31767509654762,192.1445200871436,6645222512,False
幌内温泉2号井,北海道,奥尻町,字湯浜,42.19299992847998,139.4333002845996,193.41402603262407,,True
峰浜温泉,北海道,斜里町,字日の出,43.96694379228304,144.89805612525592,198.68156904132775,,False
オショバオマブ川温泉,北海道,斜里町,字日の出,43.96534711202753,144.89471399382973,200.10591888790555,,False
崎無異川鉱泉,北海道,標津町,字薫別,43.84287197043243,144.9467391659949,206.03108816852975,,False
海別温泉,北海道,斜里町,字日の出,43.89013626164476,144.91003620797815,208.12480269104321,,False
薫別温泉,北海道,標津町,字薫別,43.7980031691678,144.9436332069043,220.08295283340328,,False
竜雲知床温泉,北海道,標津町,字崎無異,43.822918799232596,145.08269693293389,234.06265988284198,6545508643,False
寝待温泉,鹿児島県,屋久島町,口永良部島,30.467911088120307,130.23344375610014,245.80111155414411,,True
遠別旭温泉,北海道,遠別町,南部旭,44.659989184006655,141.86038616810515,246.8333792351625,6641769822,False
標津金山温泉,北海道,標津町,字古多糠,43.73837801689529,144.92343878413962,251.5678685086374,6544478342,False
ルベス温泉,北海道,標津町,字川北,43.73228122562428,144.8350782813695,253.54898496879653,,False
天塩,北海道,天塩町,北川口,44.9394828569759,141.78261399628795,253.56331533098506,,False
湯向温泉,鹿児島県,屋久島町,口永良部島,30.45436692482347,130.24745810925495,257.9019143365016,4530514942,True
(標津町),北海道,標津町,字川北,43.701735797035745,144.86537491448163,270.3206379167513,,False
斜里川ニノ沢鉱泉,北海道,清里町,字清泉,43.67947795921705,144.69982510042888,273.6500496051076,,False
俣落鉱泉,北海道,中標津町,字開陽,43.68055616633757,144.8208330251548,276.630794921823,,False
川北温泉,北海道,標津町,字川北,43.702566825358495,144.9127312015031,281.35821053786293,,False
(遠別町),北海道,遠別町,南部旭,44.65952801734708,141.85551702666854,286.16858922444123,,False
越川温泉,北海道,斜里町,字富士,43.83429700964779,144.79219729434686,293.6385493783891,,False
上国鉱山,北海道,上ノ国町,字館野,41.670611009233255,140.04848898118962,302.85399313528785,,False
西の湯,鹿児島県,屋久島町,口永良部島,30.4725970554736,130.19604347243745,311.1634156852315,,True
向江浜温泉,鹿児島県,屋久島町,口永良部島,30.45527822607945,130.19444373572676,317.0764469164456,,True
貝取澗,北海道,せたな町,大成区貝取澗,42.19418301257164,139.928343968535,320.25782748301475,,False
臼別温泉A,北海道,せたな町,大成区平浜,42.22984681175926,139.9186969399722,321.8615895687152,,False
養老牛温泉,北海道,中標津町,字養老牛,43.588001630411554,144.71431817767726,328.1507601375079,,False
元山マッドポット,東京都,小笠原村,硫黄島,24.788333197005937,141.32222205832122,335.0877102574723,,True
湯の滝温泉,北海道,足寄町,茂足寄,43.36996400898883,143.97816872507937,350.36466202155134,,False
オンネトー湯の滝,北海道,足寄町,茂足寄,43.370049894796125,143.97829677234895,350.385795267325,,False
飽別川上流部,北海道,釧路市,阿寒町飽別,43.3451608608539,144.03557502079033,351.77587837356657,,False
雌阿寒温泉(野中温泉),北海道,足寄町,茂足寄,43.39437004645129,143.98398497881809,352.5720975073733,6543077823,False
白水川上流部,北海道,釧路市,阿寒町飽別,43.36270612749048,144.053128206792,355.84889685487263,,False
神威脇1号井(奥尻町泉源),北海道,奥尻町,字湯浜,42.17159693899101,139.41055323671932,356.03812816541534,6339230242,True
白水川(濁川上流),北海道,足寄町,茂足寄,43.41385624583517,143.9992250331181,361.57189834451293,,False
足寄白水川,北海道,足寄町,茂足寄,43.41380621097856,143.99946085326582,361.6253430341747,,False
歌登町源泉,北海道,枝幸町,歌登辺毛内,44.78555637737572,142.5172218895125,361.9574452686173,6742144114,False
白水川上流変質帯,北海道,釧路市,阿寒町阿寒湖温泉四丁目,43.37996376294101,144.047749931224,362.45243101745604,,False
砂湯,北海道,弟子屈町,字美留和,43.62435044388622,144.3598582090107,370.899923110059,,False
ピリカネップ白水川,北海道,釧路市,阿寒町阿寒湖温泉三丁目,43.38040619667739,144.10132792628468,372.31878209199385,,False
千走温泉2号,北海道,島牧村,字賀老,42.64491691798079,140.04216694582968,373.4972436090683,,False
ウグイ川上流部,北海道,釧路市,阿寒町阿寒湖温泉四丁目,43.397224745089936,144.0416670817134,373.8964829506787,,False
池の湯,北海道,弟子屈町,字屈斜路,43.604866817147474,144.35763303568154,378.99978696249036,,False
見市温泉A,北海道,八雲町,熊石鮎川町,42.15539999238308,140.04107186308545,381.5540116932603,6340108332,False
新硫黄島温泉,鹿児島県,三島村,大字硫黄島,30.803611053015377,130.340277753103,382.1258219432903,,True
北平温泉,鹿児島県,三島村,大字硫黄島,30.79750013403905,130.30499987050794,383.9325892415546,,True
ウタン浜温泉,鹿児島県,三島村,大字硫黄島,30.80666668542229,130.3005562172126,384.7764601863284,,True
(置戸町),北海道,置戸町,常元,43.61386373683737,143.38050613632169,385.0138690496932,,False
坂本温泉,鹿児島県,三島村,大字硫黄島,30.80246697673276,130.291275102937,390.21386655364034,,True
平田内,北海道,八雲町,熊石平町,42.1613688842814,139.99717206465758,391.156881048171,,False
泊可鹿湯,北海道,島牧村,字豊平,42.629793901841154,140.10804199289453,393.3058590349132,,False
里村温泉,鹿児島県,十島村,大字中之島,29.84144198773195,129.85046095734933,395.51509833809587,4429660833,True
鹿の子温泉,北海道,置戸町,勝山,43.617732995662585,143.4422168420232,401.87208021862585,,False
東温泉,鹿児島県,三島村,大字硫黄島,30.781500206853565,130.2978915806382,404.92861965848033,,True
鉛川,北海道,八雲町,鉛川,42.172781131232,140.1318687958964,405.10056065269237,,False
和琴半島,北海道,弟子屈町,字屈斜路,43.58157789936961,144.3126720067502,411.16530324168633,,False
開陽台温泉,北海道,中標津町,字開陽,43.62294679885042,144.883993949862,426.75993348686313,,False
見市,北海道,八雲町,熊石鮎川町,42.15726905774783,140.04428907922994,426.8843510469158,,False
芽登温泉,北海道,足寄町,芽登,43.3905750684011,143.33315778985448,428.9014053235892,6543026643,False
フレベツ変質帯,北海道,釧路市,阿寒町阿寒湖温泉四丁目,43.40573090395861,144.06997782483634,431.308797224562,,False
幌加温泉,北海道,上士幌町,字幌加,43.468438861346336,143.12382471058572,431.4068138396178,,False
雄阿寒温泉,北海道,釧路市,阿寒町オクルシュベ,43.42210213757866,144.14282124924324,438.5719626968322,6544110132,False
豊富温泉,北海道,豊富町,字温泉,45.08055614180956,141.83027832838118,448.148316237218,6741469632,False
ホテル緑館井,北海道,奥尻町,字湯浜,42.16545027970031,139.4133638882245,449.90431443624794,,True
留真温泉,北海道,浦幌町,留真,42.940096743660725,143.6886859398784,459.67538551625285,,False
ピリカ,北海道,長万部町,字茶屋川,42.46830007697242,140.22099981510632,462.5615823206294,,False
砂蘭部川,北海道,八雲町,大新,42.15981711410894,140.2091937200539,466.0341457763618,,False
二股温泉,北海道,長万部町,字大峰,42.57711882136985,140.23928592975454,470.8931927725928,6340619911,False
高原温泉,北海道,上川町,字層雲峡,43.618526938072215,142.96929319732882,481.6065775591621,,False
