name,pref,city,district,latitude,longitude,urban_point,in_mesh_point,is_island
スワン44ねむろ,北海道,根室市,酪陽,43.2616741,145.438370399999,314.35169986585345,,False
さるふつ公園,北海道,猿払村,浜鬼志別,45.329219,142.177348,374.3901093909127,,False
マリーンアイランド岡島,北海道,枝幸町,岡島,44.8783757,142.631812999999,377.26701898432475,6742255023,False
ぐるっとパノラマ美幌峠,北海道,美幌町,字古梅,43.647837,144.24901,389.6315466648019,,False
しらたき,北海道,遠軽町,奥白滝,43.870061,143.076278,408.1286500562587,,False
おだいとう,北海道,別海町,尾岱沼,43.533413,145.236875599999,423.7438621404415,6545214822,False
びふか,北海道,美深町,字紋穂内,44.5588576,142.3200331,448.35346534984825,6642627521,False
てっくいランド大成,北海道,せたな町,大成区花歌,42.212366,139.876681,453.32293408025737,,False
愛ランド湧別,北海道,湧別町,登栄床,44.1308204,143.719206399999,512.17796243784,,False
サロマ湖,北海道,佐呂間町,字若里,44.0999179,143.8241425,542.3762522273236,,False
森と湖の里ほろかない,北海道,幌加内町,字政和第一,44.114633,142.139546,584.4594364691568,6642113133,False
ピンネシリ,北海道,中頓別町,字敏音知,44.8774622,142.213402099999,612.5785816977341,,False
さらべつ,北海道,更別村,字弘和,42.6333115,143.2718483,682.6017616091449,,False
かわうち湖,青森県,むつ市,川内町国有林野地内,41.2703981,140.888218899999,698.9422666095692,,False
オスコイ！かもえない,北海道,神恵内村,大字赤石村,43.1653589,140.3855694,729.6235685014544,,False
足寄湖,北海道,足寄町,中矢,43.2522652,143.4806105,729.8502079852433,6443730814,False
奄美大島住用,鹿児島県,奄美市,住用町大字役勝,28.25964435,129.4088365,789.7147453873774,,True
☆ロマン街道しょさんべつ,北海道,初山別村,字豊岬,44.5635037,141.7768178,819.9619643804671,6641667231,False
阿寒丹頂の里,北海道,釧路市,阿寒町上阿寒,43.1440197,144.1469574,843.3460509027175,6444517124,False
しりうち,北海道,知内町,字上雷,41.6012589,140.3358339,853.9886301129307,6240322622,False
おびら鰊番屋,北海道,小平町,字広富,44.137022,141.654956,888.5805703426362,,False
みんまや,青森県,外ヶ浜町,字三厩龍浜,41.2538342,140.346791199999,889.4068713426894,,False
みついし,北海道,新ひだか町,三石鳧舞,42.2208744,142.634226099999,900.3537712024942,,False
白金ビルケ,北海道,上富良野町,清富,43.503055833000076,142.5972233330001,952.9082541325041,6542240724,False
たいらだて,青森県,外ヶ浜町,字平舘門の沢,41.1748371,140.6411974,972.3547796713276,6140650134,False
はちもり,秋田県,八峰町,八森,40.421583,139.948678,1035.6008407356517,,False
あいおい,北海道,津別町,字布川,43.545622,143.980525,1145.7070014786987,6543275814,False
わきのさわ,青森県,むつ市,脇野沢字滝山,41.167961,140.80477,1167.063658210263,,False
らんこし・ふるさとの丘,北海道,蘭越町,目名町,42.7620988,140.478985299999,1190.8552801151247,6440131814,False
にしおこっぺ花夢,北海道,西興部村,字上興部,44.3359883,142.8680679,1194.2535472800494,,False
こどまり,青森県,中泊町,大字小泊字浜野,41.1449049,140.320595799999,1231.4160735377545,,False
しらぬか恋問,北海道,白糠町,西庶路東三条南四丁目,42.9927351,144.1981267,1246.2416957169673,,False
なかがわ,北海道,中川町,字誉,44.8016912999999,142.067347899999,1301.301858084866,,False
十三湖高原,青森県,中泊町,大字今泉字唐崎,41.045391,140.385462,1305.8713744765955,,False
シェルプラザ・港,北海道,寿都町,字磯谷町能津登,42.8801825,140.370026999999,1313.3079554062558,6440225941,False
上ノ国もんじゅ,北海道,上ノ国町,字原歌,41.8084965,140.0949663,1324.8989758613202,,False
ふかうら,青森県,深浦町,大字北金ケ沢,40.7442227,140.0004692,1359.393894479257,,False
たのはた,岩手県,田野畑村,室場,39.909617,141.902577,1382.9461730655994,5941679211,False
絵本の里けんぶち,北海道,剣淵町,東町,44.0938311,142.390979799999,1396.9810493254806,6642131114,False
三田貝分校,岩手県,岩泉町,門,39.871122,141.589311,1407.684966358544,5941644731,False
いまべつ,青森県,今別町,大字大川平,41.145511,140.514335,1410.48872714261,,False
くろまつない,北海道,黒松内町,字熱郛原野,42.6727094,140.3800337,1483.4004502372893,6440030032,False
しんごう,青森県,新郷村,大字戸来,40.4317584,141.0744455,1502.8744090214752,,False
布施ヶ坂,高知県,津野町,船戸,33.4266321,133.099612,1571.4242348755045,,False
宇目,大分県,佐伯市,大字南田原,32.8037318,131.6103962,1622.1835897837636,,False
しほろ温泉,北海道,士幌町,字下居辺,43.138881,143.367911,1626.9397970608395,,False
よってけ！島牧,北海道,島牧村,字元町,42.6867269,140.0134173,1635.7637771447532,6440002113,False
瀬戸農業公園,愛媛県,伊方町,塩成,33.4474558,132.2580887,1649.616351673286,,False
くずまき高原,岩手県,岩手町,大字江刈内,39.984567,141.339957599999,1657.3961815343441,,False
ゆすはら,高知県,檮原町,太郎川,33.3883586039407,132.944983352392,1657.6787653040371,,False
サンフラワー北竜,北海道,北竜町,字板谷,43.7510483,141.875302,1677.0822730117336,6541570011,False
四万十大正,高知県,四万十町,瀬里,33.1825666,132.9713214,1680.6432294159854,4932671743,False
フォーレスト276大滝,北海道,伊達市,三階滝町,42.6980639,141.1303673,1698.1345159850678,,False
おおぎみ,沖縄県,大宜味村,字根路銘,26.69032089,128.1081144,1706.4290735005022,4028002843,False
やまびこ館,岩手県,宮古市,夏屋,39.6488825,141.5891622,1746.9620274249087,,False
こさか七滝,秋田県,小坂町,上向字藤原,40.356598,140.781686,1760.9740239260218,6040462243,False
ピア21しほろ,北海道,士幌町,字中士幌,43.14431243535183,143.23927561066256,1793.4854856387076,6443517913,False
四万十とおわ,高知県,四万十町,十和川口,33.22391239,132.835433,1798.5462484726788,4932666644,False
やたて峠,秋田県,大館市,長走,40.4210338,140.624428999999,1851.89292675909,,False
木の香,高知県,いの町,足谷,33.77982358,133.3076915,1852.6739492734216,,False
うり坊の郷katamata,山口県,萩市,大字片俣,34.4832259,131.6322742,1860.7486904753562,5131557043,False
おおの,岩手県,洋野町,大野,40.2792091,141.6634076,1869.5984540121635,6041353313,False
