name,pref,city,district,latitude,longitude,urban_point,in_mesh_point,is_island
西仙台ハイランド,宮城県,仙台市青葉区,新川,38.290172,140.628905,5848.3115895500205,,False
石山,北海道,白老町,字萩野,42.536433,141.300037,6794.091338842619,6341624413,False
みどり野,北海道,当別町,字茂平沢（みどり野）,43.256682,141.53826,6976.77502949034,6441740333,False
吉備高原都市,岡山県,吉備中央町,吉川日の上Ⅰ,34.8352512,133.760726,9046.731715375543,,False
高島三ツ石,徳島県,鳴門市,,34.2129306,134.608185,9350.252645238492,5134245841,False
アナトリア鴨川リゾート,千葉県,鴨川市,天面,35.07658,140.071735,10244.665138815506,,False
光都21,兵庫県,上郡町,光都二丁目,34.9317769,134.441315,10640.228597034391,5234331534,False
名泉郷ニュータウン,福井県,あわら市,下金屋,36.244257,136.280139,11212.650937252318,5436229214,False
南房総千倉開発計画,千葉県,南房総市,千倉町忽戸,34.951594,139.951229,11318.038159618975,,False
南部,北海道,紋別市,南が丘町七丁目,44.3329907,143.363327,11694.347402256071,6643329933,False
コリーナ矢板,栃木県,矢板市,玉田,36.756318,139.908657,11984.92341741134,5539170243,False
有年,兵庫県,赤穂市,有年原,34.8295023,134.395603,12391.324488631933,5234139141,False
大金台,栃木県,那須烏山市,月次,36.667644,140.115831,12478.384555738314,5540000912,False
大楽毛,北海道,釧路市,大楽毛南三丁目,43.00744,144.284992,12632.662343980275,6444420244,False
美奈宜の杜,福岡県,朝倉市,美奈宜の杜四丁目,33.431495,130.712282,12974.361122537617,,False
夷隅レクリエーション,千葉県,いすみ市,大原台,35.209003,140.367733,13133.324093282105,5240625912,False
みどり野団地,北海道,南幌町,美園二丁目,43.054402,141.653638,13208.158224717612,6441456232,False
下野郷,宮城県,岩沼市,空港南,38.120445,140.917461,13781.968488336286,,False
八合原,鹿児島県,曽於市,大隅町下窪町,31.582429,131.002604,14357.982251579317,4731209033,False
吉備高原団地,岡山県,吉備中央町,上野,34.839027,133.767379,15230.883177291194,5233260132,False
ｸﾞﾘｭｰﾈﾝ入野住宅団地,広島県,東広島市,入野中山台三丁目,34.4547661,132.860194,15388.69115217143,5132564842,False
フィオーレ喜連川,栃木県,さくら市,フィオーレ喜連川三丁目,36.7383544,140.028034,17076.508542884112,5540008231,False
錦西ニュータウン,北海道,苫小牧市,北星町一丁目,42.602757,141.469316,17995.885960389387,6341732723,False
北部,北海道,士別市,東六条北八丁目,44.188574,142.398949,18151.17302623431,6642232142,False
浜松市船明,静岡県,浜松市天竜区,船明,34.8876894,137.818666,18556.58297956136,5237266532,False
美祢ニュータウン来福台,山口県,美祢市,大嶺町東分,34.18456,131.196177,18850.69845990119,5131212521,False
明野,北海道,苫小牧市,新開町三丁目,42.661863,141.64414,19452.224967241506,6341759123,False
グリーンニュータウン,北海道,釧路町,緑五丁目,43.037717,144.470147,21322.54563953368,6444434741,False
ロングヒルニュータウン,大分県,大分市,梅が丘二丁目,33.1232016,131.684112,21815.686511278698,4931554443,False
北会津村真宮,福島県,会津若松市,真宮新町南四丁目,37.522116,139.873281,22094.928843828635,5639262942,False
御庄,山口県,岩国市,御庄二丁目,34.1673314,132.152311,22536.54519041258,5132210211,False
山畑,三重県,伊賀市,希望ヶ丘西四丁目,34.785587,136.230098,22722.473372471002,5236114814,False
ひょうご情報公園都市,兵庫県,三木市,志染町戸田,34.7999779,135.071377,22739.189865488097,,False
ひたち野文化村,茨城県,水戸市,鯉淵町,36.3343144,140.377399,22914.561760992543,5440430011,False
対雁,北海道,江別市,工栄町,43.126327,141.515408,23112.99005724211,,False
桜台,岩手県,盛岡市,桜台二丁目,39.751248,141.197319,23818.635926261857,5941510522,False
桜台ニュータウン,岩手県,盛岡市,桜台二丁目,39.7503,141.198939,23818.635926261857,5941510522,False
北部,長野県,辰野町,中央宮所,35.988112,137.983429,23882.779168371257,5337778841,False
阿字ヶ浦,茨城県,ひたちなか市,阿字ケ浦町,36.3876528,140.607014,23965.17391410937,5440446841,False
梅ヶ丘,大分県,大分市,梅が丘一丁目,33.1211754,131.680075,24658.440567457747,4931554432,False
芦別第三,北海道,芦別市,北五条西一丁目,43.527331,142.183636,25219.251152789504,6542213423,False
沼田町伴,広島県,広島市安佐南区,伴西一丁目,34.4673551,132.389288,25434.630512644508,,False
梅ノ木,宮城県,登米市,佐沼字梅ノ木一丁目,38.696564,141.20616,25474.230059186262,5841013632,False
南大和田園都市牧野Ａ南地区,奈良県,五條市,なつみ台一丁目,34.3479731,135.668859,25750.966551056626,5135451343,False
萩洗,宮城県,登米市,佐沼字南佐沼二丁目,38.682863,141.184959,26258.823763214645,5841011444,False
落合,秋田県,能代市,落合字下大野,40.2252677032112,140.03593505407807,26451.25093159521,6040207222,False
野中・砂子,兵庫県,赤穂市,北野中,34.762196,134.412176,26537.58509232564,5234131224,False
学園,北海道,紋別市,渚滑町元新一丁目,44.3650344,143.333284,26631.39077884825,6643423643,False
上町,鹿児島県,曽於市,末吉町上町五丁目,31.6509931,131.023463,26880.95186775206,4731308122,False
小松ヶ丘,青森県,六戸町,小松ケ丘四丁目,40.662386265761,141.3365028417799,26940.157747340218,6041729624,False
稲田川西,北海道,帯広市,清流西二丁目,42.872379,143.194213,27190.228302006675,6443214541,False
阿見吉原,茨城県,阿見町,よしわら四丁目,35.9860859,140.235973,27459.99072023787,5340718824,False
花吉野ガーデンヒルズ,奈良県,大淀町,大字福神,34.3957764,135.745265,27462.087366124026,5135457923,False
ぬな川,新潟県,糸魚川市,大字今村新田,37.029443,137.822145,28621.302260449072,5537463542,False
本町,北海道,南幌町,栄町一丁目,43.063746,141.650411,28655.838624893517,6441457231,False
池の台,三重県,名張市,美旗町池の台東,34.6515757,136.134549,28712.327816881356,5136718022,False
白帆台ニュータウン,石川県,内灘町,白帆台二丁目,36.6730242,136.657873,28813.003664190663,5536050243,False
つのいニュータウン,鳥取県,鳥取市,若葉台南六丁目,35.445708,134.262365,28818.15850605438,5334123024,False
福井,長野県,飯綱町,大字豊野福井団地,36.7424722,138.252887,28878.50242674109,5538029011,False
あすとぴあ,山口県,宇部市,あすとぴあ五丁目,33.980698,131.297221,28914.880199160078,5031727342,False
西ヶ丘,岩手県,宮古市,西ケ丘四丁目,39.642049,141.914456,28948.233825046766,5941377311,False
