name,pref,city,district,latitude,longitude,urban_point,in_mesh_point,is_island
ぬな川,新潟県,糸魚川市,大字今村新田,37.029443,137.822145,2357.945698982491,,False
滑川駅南,富山県,滑川市,柳原,36.7658485,137.355362,2829.0038533524967,,False
太閤山,富山県,射水市,太閤山１丁目,36.7093522,137.096031,4422.988550356247,,False
西仙台ハイランド,宮城県,青葉区,新川,38.290172,140.628905,5626.46453593152,,False
石山,北海道,白老町,字萩野,42.536433,141.300037,6480.143990734194,6341624413,False
みどり野,北海道,当別町,字茂平沢（みどり野）,43.256682,141.53826,6765.90346576134,6441740333,False
高岡南部,富山県,高岡市,東上関南田町,36.7339302,137.017403,8147.864678494621,,False
高島三ツ石,徳島県,鳴門市,,34.2129306,134.608185,10045.840040685245,5134245841,False
吉備高原都市,岡山県,吉備中央町,吉川日の上Ⅰ,34.8352512,133.760726,10129.636387674163,,False
アナトリア鴨川リゾート,千葉県,鴨川市,天面,35.07658,140.071735,10281.936753831438,,False
光都21,兵庫県,上郡町,光都２丁目,34.9317769,134.441315,10688.203002215401,5234331534,False
南部,北海道,紋別市,南が丘町,44.3329907,143.363327,10930.758620771632,6643329933,False
みどり野団地,北海道,南幌町,美園３丁目,43.054402,141.653638,11362.267680896939,6441456232,False
名泉郷ニュータウン,福井県,あわら市,下金屋,36.244257,136.280139,11588.869600918322,5436229214,False
大楽毛,北海道,釧路市,大楽毛南３丁目,43.00744,144.284992,11658.892635929065,6444420244,False
南房総千倉開発計画,千葉県,南房総市,千倉町忽戸,34.951594,139.951229,11790.27648436059,,False
コリーナ矢板,栃木県,矢板市,玉田,36.756318,139.908657,11809.766819324801,5539170243,False
堀川西,富山県,富山市,根塚町１丁目,36.6751334,137.205682,12027.628632590677,,False
吉備高原団地,岡山県,吉備中央町,上野,34.839027,133.767379,12668.9911849081,5233260132,False
大金台,栃木県,那須烏山市,月次,36.667644,140.115831,12884.050031333829,5540000912,False
夷隅レクリエーション,千葉県,いすみ市,大原台,35.209003,140.367733,13046.565355627006,5240625912,False
下野郷,宮城県,岩沼市,空港南,38.120445,140.917461,13199.206585893213,,False
有年,兵庫県,赤穂市,有年原,34.8295023,134.395603,13284.262938498336,5234139141,False
美奈宜の杜,福岡県,朝倉市,美奈宜の杜４丁目,33.431495,130.712282,13341.236610180662,,False
八合原,鹿児島県,曽於市,大隅町月野,31.582429,131.002604,14969.56639312334,4731209033,False
ｸﾞﾘｭｰﾈﾝ入野住宅団地,広島県,東広島市,入野中山台三丁目,34.4547661,132.860194,15140.154234523483,5132564842,False
錦西ニュータウン,北海道,苫小牧市,字錦岡錦西地区,42.602757,141.469316,16207.869137060365,6341732723,False
明野,北海道,苫小牧市,新開町３丁目,42.661863,141.64414,16853.987593680013,6341759123,False
フィオーレ喜連川,栃木県,さくら市,フィオーレ喜連川３丁目,36.7383544,140.028034,17020.372839239753,5540008231,False
北部,北海道,士別市,東六条北８丁目,44.188574,142.398949,17412.125217948967,6642232142,False
浜松市船明,静岡県,天竜区,船明,34.8876894,137.818666,17486.32283670045,5237266532,False
美祢ニュータウン来福台,山口県,美祢市,大嶺町東分,34.18456,131.196177,19501.021706064446,5131212521,False
小松ヶ丘,青森県,六戸町,小松ケ丘４丁目,40.662386265761,141.3365028417799,20753.72516831386,6041729624,False
グリーンニュータウン,北海道,釧路町,緑５丁目,43.037717,144.470147,20845.160247657772,6444434741,False
対雁,北海道,江別市,工栄町,43.126327,141.515408,21056.42892021234,,False
北会津村真宮,福島県,会津若松市,真宮新町南４丁目,37.522116,139.873281,21600.903763888517,5639262942,False
ひたち野文化村,茨城県,水戸市,鯉淵町,36.3343144,140.377399,22175.32367302249,5440430011,False
阿字ヶ浦,茨城県,ひたちなか市,阿字ケ浦町,36.3876528,140.607014,22656.18760927971,5440446841,False
山畑,三重県,伊賀市,希望ヶ丘西４丁目,34.785587,136.230098,23018.793114520446,5236114814,False
ロングヒルニュータウン,大分県,大分市,梅が丘２丁目,33.1232016,131.684112,23093.475165731288,4931554443,False
ひょうご情報公園都市,兵庫県,三木市,志染町戸田,34.7999779,135.071377,23229.06177531246,,False
稲田川西,北海道,帯広市,清流西２丁目,42.872379,143.194213,23360.682251035778,6443214541,False
豊洋台団地,長崎県,長崎市,豊洋台１丁目,32.83036,129.791404,23619.809278425717,4929169332,False
桜台,岩手県,盛岡市,桜台２丁目,39.751248,141.197319,23786.112953549717,5941510522,False
桜台ニュータウン,岩手県,盛岡市,桜台２丁目,39.7503,141.198939,23786.112953549717,5941510522,False
御庄,山口県,岩国市,御庄２丁目,34.1673314,132.152311,24040.320714767928,5132210211,False
北部,長野県,辰野町,中央宮所,35.988112,137.983429,24649.880568111872,5337778841,False
白帆台ニュータウン,石川県,内灘町,白帆台２丁目,36.6730242,136.657873,24838.453678346,5536050243,False
芦別第三,北海道,芦別市,北五条西１丁目,43.527331,142.183636,25187.76710966752,6542213423,False
阿見吉原,茨城県,阿見町,よしわら１丁目,35.9860859,140.235973,25251.963556018036,,False
南大和田園都市牧野Ａ南地区,奈良県,五條市,なつみ台１丁目,34.3479731,135.668859,25371.407091984267,5135451343,False
沼田町伴,広島県,安佐南区,伴西１丁目,34.4673551,132.389288,25389.42136755443,,False
梅ノ木,宮城県,登米市,佐沼字梅ノ木１丁目,38.696564,141.20616,25400.7388142645,5841013632,False
落合,秋田県,能代市,落合字下大野,40.2252677032112,140.03593505407807,25714.974938487496,6040207222,False
