id,key,coordinates,latitude,longitude,pref,city,district,population,is_island
0,3622572741,"[[[[122.971875, 24.4375], [122.96874999999999, 24.4375], [122.96874999999999, 24.43958333333333], [122.971875, 24.43958333333333], [122.971875, 24.4375]]]]",24.438541666666666,122.97031249999998,沖縄県,与那国町,字与那国,56,True
0,3622572833,"[[[[122.97812499999999, 24.43958333333333], [122.975, 24.43958333333333], [122.975, 24.441666666666666], [122.97812499999999, 24.441666666666666], [122.97812499999999, 24.43958333333333]]]]",24.440624999999994,122.9765625,沖縄県,与那国町,字与那国,63,True
0,3622573534,"[[[[122.94375, 24.447916666666664], [122.940625, 24.447916666666664], [122.940625, 24.45], [122.94375, 24.45], [122.94375, 24.447916666666664]]]]",24.448958333333334,122.94218749999999,沖縄県,与那国町,字与那国,27,True
0,3622573812,"[[[[122.98124999999999, 24.441666666666666], [122.97812499999999, 24.441666666666666], [122.97812499999999, 24.443749999999998], [122.98124999999999, 24.443749999999998], [122.98124999999999, 24.441666666666666]]]]",24.442708333333336,122.97968749999998,沖縄県,与那国町,字与那国,60,True
0,3622573814,"[[[[122.98124999999999, 24.443749999999998], [122.97812499999999, 24.443749999999998], [122.97812499999999, 24.445833333333333], [122.98124999999999, 24.445833333333333], [122.98124999999999, 24.443749999999998]]]]",24.444791666666667,122.97968749999997,沖縄県,与那国町,字与那国,42,True
0,3622573821,"[[[[122.98437499999999, 24.441666666666666], [122.98124999999999, 24.441666666666666], [122.98124999999999, 24.443749999999998], [122.98437499999999, 24.443749999999998], [122.98437499999999, 24.441666666666666]]]]",24.442708333333336,122.98281249999998,沖縄県,与那国町,字与那国,32,True
0,3622574422,"[[[[122.93749999999999, 24.45], [122.93437499999999, 24.45], [122.93437499999999, 24.45208333333333], [122.93749999999999, 24.45208333333333], [122.93749999999999, 24.45]]]]",24.45104166666666,122.93593749999998,沖縄県,与那国町,字与那国,27,True
0,3622574512,"[[[[122.94375, 24.45], [122.940625, 24.45], [122.940625, 24.45208333333333], [122.94375, 24.45208333333333], [122.94375, 24.45]]]]",24.45104166666666,122.94218749999999,沖縄県,与那国町,字与那国,109,True
0,3622574514,"[[[[122.94375, 24.45208333333333], [122.940625, 24.45208333333333], [122.940625, 24.454166666666666], [122.94375, 24.454166666666666], [122.94375, 24.45208333333333]]]]",24.453125,122.94218749999999,沖縄県,与那国町,字与那国,44,True
0,3622574521,"[[[[122.94687499999999, 24.45], [122.94375, 24.45], [122.94375, 24.45208333333333], [122.94687499999999, 24.45208333333333], [122.94687499999999, 24.45]]]]",24.45104166666666,122.9453125,沖縄県,与那国町,字与那国,126,True
