name,pref,city,district,latitude,longitude,urban_point,in_mesh_point,is_island
口永良部郵便局,鹿児島県,屋久島町,口永良部島,30.464314,130.191347,242.91672317899472,,True
小頓別郵便局,北海道,中頓別町,字小頓別,44.828199,142.309428,307.1920430737584,6742129424,False
西古見郵便局,鹿児島県,瀬戸内町,大字西古見,28.240114014120596,129.17335263754765,331.28120263907743,4229218344,True
古多糠簡易郵便局,北海道,標津町,字忠類,43.7487104711466,145.02929955150648,338.08577718205703,6545409234,False
実久郵便局,鹿児島県,瀬戸内町,大字実久,28.165199,129.209474,357.19836678158447,4229119644,True
島牧栄浜簡易郵便局,北海道,島牧村,字栄浜,42.6723742235124,139.8869571406371,417.21502408156505,6439070042,False
二俣簡易郵便局,北海道,釧路市,音別町尺別,42.970846,143.879598,419.410750265241,6443376014,False
松江簡易郵便局,北海道,奥尻町,字富里,42.07659413423126,139.4870198971204,426.3861696766177,6339039822,True
島歌郵便局,北海道,せたな町,瀬棚区島歌,42.554703,139.836831,436.64850501011574,6339666642,False
母島郵便局,高知県,宿毛市,沖の島町母島,32.738875,132.549148,439.1751291636214,4932048342,True
縫別簡易郵便局,北海道,白糠町,茶路,43.076587,143.96875,458.31970368922623,6443479721,False
貝取澗簡易郵便局（一時閉鎖）,北海道,せたな町,大成区貝取澗,42.18833,139.896033,459.84038879774283,6339272141,False
留真簡易郵便局,北海道,浦幌町,円山,42.917073171667234,143.6625177979214,460.085879975087,6443350311,False
弘瀬簡易郵便局,高知県,宿毛市,沖の島町弘瀬,32.713827,132.551099,470.2279243813686,4932045431,True
北進簡易郵便局,北海道,白糠町,茶路,43.160914,143.89068905801867,473.43378613420487,6443579114,False
宇検久志郵便局,鹿児島県,宇検村,大字久志,28.286634,129.23336,478.9986949962541,4229314823,True
上里簡易郵便局（一時閉鎖）,北海道,津別町,字美都,43.622752,144.110353,481.37943445183,6544304842,False
神居滝簡易郵便局,北海道,遠軽町,丸瀬布武利,43.91536456079291,143.32933237679254,487.170700045797,,False
藻別簡易郵便局,北海道,紋別市,藻別,44.251801,143.36324,499.3907039301667,6643320911,False
宝島郵便局,鹿児島県,十島村,大字宝島,29.152528,129.204694,506.62976471596374,4329518614,True
中立牛簡易郵便局（一時閉鎖）,北海道,紋別市,上渚滑町中立牛,44.135164,143.200132,510.68483237095575,,False
上足寄簡易郵便局,北海道,足寄町,上足寄本町,43.355243,143.785222,511.2933571744567,,False
池地郵便局,鹿児島県,瀬戸内町,大字請阿室,28.030627,129.234063,534.6638159903239,4229013841,True
久著路郵便局,北海道,標茶町,（久著呂）,43.28152325620801,144.37292110169716,534.797767672709,6444723944,False
宮津郵便局,北海道,奥尻町,字宮津,42.211927,139.548841,539.0107025477375,6339245324,True
宇津簡易郵便局,北海道,興部町,字秋里朝日２区,44.423312,143.028253,541.0808040545115,6643500234,False
茶路簡易郵便局,北海道,白糠町,和天別,43.039899,144.012414,552.9920482066664,6444404044,False
仁宇布簡易郵便局,北海道,美深町,字仁宇布,44.54524,142.568426,571.0675345796411,6642645514,False
根室峯浜簡易郵便局,北海道,羅臼町,幌萌町,43.87932126416003,145.09632846414948,576.2851235169837,6545605741,False
風烈布簡易郵便局,北海道,枝幸町,音標,44.74187457020943,142.7593900286804,576.5467600932188,6742069022,False
古志簡易郵便局,鹿児島県,瀬戸内町,大字西古見,28.234585,129.276219,580.0093756263359,4229228211,True
糸魚沢簡易郵便局,北海道,厚岸町,糸魚沢,43.104522,144.929667,585.6930054086162,6444572432,False
太櫓郵便局,北海道,せたな町,北檜山区太櫓,42.380115,139.818107,593.3331393905842,6339465532,False
上オソツベツ簡易郵便局,北海道,標茶町,（御卒別）,43.36670239749679,144.42069672424677,611.0771875441143,6544034321,False
西竹簡易郵便局,北海道,中標津町,字西竹,43.56513472255033,144.81360881160376,612.7866728138641,6544267533,False
中足寄簡易郵便局,北海道,足寄町,中足寄,43.28579797626777,143.63853539113273,619.580658252743,6443754113,False
太陽簡易郵便局,北海道,新冠町,字太陽,42.526169,142.412963,626.9579564003902,6342633311,False
鳩間簡易郵便局,沖縄県,竹富町,字鳩間,24.4685020015941,123.8221914784897,628.8192839885219,3623566522,True
上平簡易郵便局,北海道,苫前町,字上平,44.264072,141.655469,630.0527352756192,6641351232,False
生花郵便局,北海道,大樹町,字生花,42.598874,143.452379,632.2281257221505,6343731633,False
稚内曲渕簡易郵便局,北海道,稚内市,大字声問村字曲渕,45.26114061059352,141.9009848139063,634.1324244484975,6741771213,False
斗満簡易郵便局,北海道,陸別町,字上斗満２,43.479254,143.634898,649.8358131790919,6543157042,False
武佐簡易郵便局,北海道,中標津町,字武佐,43.625357,144.956386,656.9846599635532,6544375621,False
滝西郵便局,北海道,滝上町,滝西,44.115414,143.011358,660.6913374735393,6643103044,False
沼ノ上郵便局,北海道,紋別市,沼の上,44.238274,143.517125,662.823271911621,6643248132,False
花石郵便局,北海道,今金町,字宮島,42.442812,140.166693,677.0532397844762,6340513312,False
小石簡易郵便局,北海道,猿払村,小石,45.31155397110546,142.05349479660563,682.669745626395,6742707414,False
標津忠類簡易郵便局,北海道,標津町,字忠類,43.723128,145.093618,686.2261272233583,6545406734,False
阿鉄郵便局,鹿児島県,瀬戸内町,大字小名瀬,28.18992376602422,129.2910506232075,702.3843519886582,4229222334,True
美里別郵便局,北海道,本別町,西美里別,43.177877,143.486274,705.588319293278,6443631824,False
白金温泉簡易郵便局,北海道,美瑛町,字白金,43.47378977144869,142.63816485528224,719.4124216442425,,False
北見大和郵便局,北海道,北見市,留辺蘂町大和,43.739775,143.450596,722.6452260302704,6543438633,False
螺湾郵便局,北海道,足寄町,螺湾本町,43.307107,143.705483,727.4303752341759,6443756634,False
中割簡易郵便局,鹿児島県,西之表市,安城,30.608964,130.998505,728.0168648873545,4530773922,True
築別郵便局,北海道,羽幌町,字築別,44.411447,141.735812,733.0715821672495,6641459824,False
上風連郵便局,北海道,別海町,上風連,43.267631,145.09961,733.1960608902984,6445702722,False
下久著路簡易郵便局,北海道,鶴居村,字下久著呂,43.219981,144.430698,736.8450184341232,6444636414,False
富村牛簡易郵便局,北海道,新得町,字屈足,43.33285,142.945756,746.5536603279791,6442779543,False
萩ヶ岡簡易郵便局（一時閉鎖）,北海道,上士幌町,字上士幌東２線,43.274712,143.304277,759.4885331587244,6443722434,False
瑞穂簡易郵便局,北海道,北見市,瑞穂,43.895647,143.637527,770.0154045327517,6543657024,False
富美簡易郵便局,北海道,湧別町,富美,44.141011,143.51107,770.8010081808874,6643146044,False
屈斜路郵便局,北海道,弟子屈町,字屈斜路原野,43.556683,144.326441,771.3285560920693,6544226633,False
母子里簡易郵便局,北海道,幌加内町,字母子里,44.363416,142.26135,771.3634116640015,6642423042,False
鹿児島中央郵便局竹島分室,鹿児島県,三島村,大字竹島,30.813924,130.417908,790.6646703209915,4630137332,True
歌島簡易郵便局,北海道,島牧村,字歌島,42.777219,140.151929,792.5353726682387,,False
新和郵便局,北海道,日高町,字正和,42.544147,142.334172,797.288492655568,6342625623,False
常室簡易郵便局,北海道,浦幌町,常豊,42.868642,143.670024,799.6264167409151,6443254321,False
開陽郵便局,北海道,中標津町,りんどう町,43.597386,144.913892,803.8998537861197,6544371331,False
瀬戸瀬郵便局,北海道,遠軽町,瀬戸瀬西町,44.010244,143.421558,807.7835281236685,6643031321,False
姉別郵便局,北海道,浜中町,姉別１丁目,43.194454,145.194032,808.7613940311464,6445613523,False
朱鞠内郵便局,北海道,幌加内町,字朱鞠内,44.281505,142.161476,811.6962769933585,6642313244,False
勇知郵便局,北海道,稚内市,大字抜海村字上勇知,45.261233,141.686557,814.0596324411838,6741751424,False
福江黄島簡易郵便局,長崎県,五島市,黄島町,32.569059,128.904554,824.3614292043646,4828678214,True
仁々志別簡易郵便局,北海道,釧路市,阿寒町中仁々志別,43.17417466613885,144.22276590093435,824.6447137030084,6444610744,False
中之島郵便局,鹿児島県,十島村,大字中之島,29.837115,129.853451,826.2256958306593,4429660814,True
日振島郵便局,愛媛県,宇和島市,日振島,33.172907,132.293464,832.689310733074,4932620332,True
浅茅野郵便局,北海道,浜頓別町,字共和,45.213101,142.226377,838.0856581634789,6742615831,False
押角郵便局,鹿児島県,瀬戸内町,大字花富,28.112649,129.273195,853.6965376445029,4229123142,True
若里簡易郵便局,北海道,湧別町,計呂地,44.05771075369091,143.74893804762584,853.7667922163633,6643056944,False
抜海郵便局,北海道,稚内市,大字抜海村字バッカイ,45.310832,141.621482,854.97149509626,6741747923,False
伊福貴簡易郵便局,長崎県,五島市,伊福貴町,32.753395032836586,128.97046426207092,857.1638647120994,4928170723,True
婦美簡易郵便局（一時閉鎖）,北海道,積丹町,大字婦美町,43.312533,140.545889,857.7073653377804,6440747341,False
計呂地郵便局,北海道,湧別町,志撫子,44.101854,143.728391,867.4614649490354,6643152812,False
智恵文郵便局,北海道,名寄市,智恵文八幡,44.455217,142.413221,871.6675364586765,6642534331,False
日吉簡易郵便局,北海道,北見市,字日吉,43.980567,143.947379,872.0152722728619,6543777542,False
土佐清水大津簡易郵便局,高知県,土佐清水市,大津東部・西部,32.75360999556943,132.80219794198126,874.2612548128556,4932160413,False
久慈郵便局,鹿児島県,瀬戸内町,大字西古見,28.230806,129.252163,876.1905998413554,4229227031,True
千軒簡易郵便局,北海道,福島町,字千軒,41.556884,140.267702,880.2912667912719,6240226134,False
川南簡易郵便局,北海道,士別市,上士別町,44.10715332910663,142.50569672622046,881.5279899259102,6642142034,False
遠軽社名渕簡易郵便局,北海道,遠軽町,社名淵,44.07159199776087,143.43771012590565,889.2487006763446,6643038531,False
原歌簡易郵便局,北海道,島牧村,字原歌町,42.68767,139.983808,890.4973537945315,6439072841,False
立山簡易郵便局,鹿児島県,西之表市,安城,30.612826,131.046471,892.3990153760176,4531703341,True
北見栄郵便局,北海道,佐呂間町,字栄,43.957173,143.66082,902.3459786105327,6543754244,False
幌満郵便局,北海道,様似町,字幌満,42.076363,143.035369,912.3255953481555,6343009222,False
阿歴内簡易郵便局,北海道,標茶町,字阿歴内,43.093495,144.574359,919.2802035619674,6444541522,False
西阿室郵便局,鹿児島県,瀬戸内町,大字実久,28.111258,129.221004,921.5783186648031,4229113723,True
舟志簡易郵便局,長崎県,対馬市,舟志,34.611255724390354,129.4373794445462,922.5251850606984,5129733424,True
上名寄郵便局,北海道,下川町,上名寄第１,44.314987,142.558633,925.5527533800497,6642347443,False
有明郵便局,北海道,羽幌町,字築別,44.448665,141.758334,926.5781317429071,6641563043,False
兜沼郵便局,北海道,豊富町,字兜沼,45.221327,141.698988,928.8845156219121,6741656542,False
朱円簡易郵便局,北海道,斜里町,字朱円,43.904818,144.751115,930.0744018948853,6544668031,False
豊原簡易郵便局,北海道,別海町,豊原,43.435501,145.017112,932.6757106115608,6545102114,False
