pref,city,district,latitude,longitude,name,description
静岡県,天竜区,水窪町山住河内浦,35.142371,137.890563,臼が森集落,https://twitter.com/kendou774/status/1074235083190497285
静岡県,天竜区,水窪町奥領家水窪,35.177334,137.817081,旧・水窪町夏焼集落,https://twitter.com/kendou774/status/1059031714029137921
徳島県,つるぎ町,一宇,33.930097,134.07629,九藤中集落,https://twitter.com/kendou774/status/1150660364540841985
山梨県,早川町,雨畑,35.376069,138.305426,硯島地区,https://twitter.com/kendou774/status/1208608848925167616
島根県,江津市,松川町長良,34.981223,132.297492,江津市瀬尻集落,https://twitter.com/kendou774/status/1118510850380185600
和歌山県,高野町,大字湯川,34.192352,135.528116,高野山　湯川地区,https://twitter.com/kendou774/status/1124319466202886145
山梨県,身延町,杉山,35.438558,138.540741,山神社,https://twitter.com/kendou774/status/1066323124696702977
和歌山県,田辺市,本宮町土河屋,33.888764,135.762767,鹿淵集落,https://twitter.com/kendou774/status/1129998572869414912
徳島県,つるぎ町,一宇,33.948202,134.056892,十家集落,https://twitter.com/kendou774/status/1056885726489468929
静岡県,川根本町,東藤川,35.06448,138.170693,小猿郷集落,https://twitter.com/kendou774/status/1206059559283908609
和歌山県,白浜町,大字小房,33.66739,135.520263,小房集落,https://twitter.com/kendou774/status/1182936315383300096
和歌山県,白浜町,大字上露,33.652673,135.566547,上露集落,https://twitter.com/kendou774/status/1108701457438507009
山梨県,身延町,大山,35.498133,138.516011,身延町大山集落,https://twitter.com/kendou774/status/1160441642135851013
奈良県,川上村,大字中奥,34.333585,136.043873,瀬戸集落,https://twitter.com/kendou774/status/1203564853744455681
鹿児島県,瀬戸内町,大字古仁屋,28.199912,129.435596,青久集落,https://twitter.com/kendou774/status/1086589064218726400
愛媛県,西条市,西之川,33.816647,133.119289,石鎚村,https://twitter.com/kendou774/status/1213363593908850689
徳島県,三好市,,33.925753,133.893106,祖谷山,https://twitter.com/kendou774/status/1216722697419247620
岐阜県,飛騨市,神岡町佐古,36.427049,137.359786,大多和集落,https://twitter.com/kendou774/status/1176849167538249728
高知県,四万十町,小鶴津,33.208495,133.233175,大鶴津・小鶴津集落,https://twitter.com/kendou774/status/1195885201538220032
徳島県,吉野川市,美郷,33.984737,134.229305,中村山,https://twitter.com/kendou774/status/1234091412502671360
兵庫県,宍粟市,宇野,35.041908,134.530935,長水山,https://twitter.com/kendou774/status/1167771996672839682
長野県,天龍村,長島,35.282709,137.838593,天龍村　長沼,https://twitter.com/kendou774/status/1112209595970142208
高知県,香美市,別府,33.748322,134.02815,謎の集落,https://twitter.com/kendou774/status/1140158879252090886
奈良県,十津川村,大字竹筒,33.872429,135.860388,百夜月,https://twitter.com/kendou774/status/1071575444749598720 https://twitter.com/search?f=tweets&q=since%3A2018-08-24%20until%3A2018-08-25%20from%3Akendou774&src=typd https://twitter.com/search?f=tweets&q=-filter%3Areplies%20since%3A2018-08-19%20until%3A2018-08-23%20from%3Akendou774&src=typd
徳島県,つるぎ町,一宇,33.911348,134.062922,平井集落,https://twitter.com/kendou774/status/1144247780317306880 https://twitter.com/kendou774/status/1138811025069826049
長野県,飯田市,上村上町,35.364573,137.987745,平畑,https://twitter.com/kendou774/status/1059790838312529920
長野県,小谷村,大字北小谷,36.840099,137.918243,埋橋集落,https://twitter.com/kendou774/status/1135136400125308929
長野県,阿南町,大字大下条東條,35.322094,137.852454,万古集落,https://twitter.com/kendou774/status/1192064611022860290
長野県,飯田市,南信濃,35.307946,137.875972,名田熊集落,https://twitter.com/kendou774/status/1165234418660700161
