name,pref,city,district,latitude,longitude,urban_point,in_mesh_point,is_island
北里大学　獣医学部　附属フィールドサイエンスセンター　環境保全型畜産研究部門　八雲牧場,北海道,八雲町,上八雲,42.256007,140.13689,446.8088891889386,,False
北海道大学　北方生物圏フィールド科学センター　森林圏ステーション　北管理部雨龍研究林,北海道,幌加内町,字母子里,44.362949,142.25697,508.83061683776066,,False
北海道大学　北方生物圏フィールド科学センター　森林圏ステーション　南管理部　檜山研究林,北海道,上ノ国町,字小森,41.757419,140.151043,544.9989685254302,,False
北海道大学　北方生物圏フィールド科学センター　耕地圏ステーション　静内研究牧場,北海道,新ひだか町,静内御園,42.433846,142.480459,618.8160872129453,,False
北海道大学　北方生物圏フィールド科学センター　森林圏ステーション　北管理部　中川研究林,北海道,音威子府村,字音威子府,44.720637,142.25132,636.9129036105463,,False
琉球大学　農学部　附属亜熱帯フィールド科学教育研究センター　与那フィールド,沖縄県,国頭村,字与那,26.763832,128.215985,675.1442374929043,4028111732,False
東京大学　地震研究所　観測開発基盤センター　　室戸地殻変動観測所,高知県,室戸市,領家,33.247952,134.177902,1030.5927517891541,4934619433,False
北海道大学　北方生物圏フィールド科学センター　水圏ステーション　厚岸臨海実験所,北海道,厚岸町,愛冠,43.017969,144.839131,1123.98809375545,,False
京都大学　フィールド科学教育研究センター　北海道研究林標茶区,北海道,標茶町,北標茶,43.323304,144.612322,1130.6773585445374,6444748844,False
東京大学　大学院　人文社会系研究科　附属北海文化研究常呂実習施設,北海道,北見市,常呂町字岐阜,44.122638,143.974496,1173.8468086869698,,False
北海道大学　北方生物圏フィールド科学センター　森林圏ステーション　北管理部　天塩研究林,北海道,幌延町,字問寒別,44.917482,142.019415,1179.3933852436583,6742300121,False
独立行政法人宇宙航空研究開発機構　内之浦宇宙空間観測所,鹿児島県,肝付町,南方,31.251247,131.076139,1333.468501620283,,False
独立行政法人日本原子力研究開発機構　青森研究開発センター,青森県,六ヶ所村,大字尾駮,40.951126,141.326162,1336.8637775410375,,False
独立行政法人海洋研究開発機構　むつ研究所,青森県,むつ市,大字関根字北関根,41.363121,141.238404,1340.0453928332417,,False
大学共同利用機関法人自然科学研究機構　核融合科学研究所　ヘリカル研究部　六ヶ所研究センター,青森県,六ヶ所村,大字尾駮,40.962401,141.326566,1383.4569215692738,,False
北海道大学　北方生物圏フィールド科学センター　水圏ステーション　洞爺臨湖実験所,北海道,洞爺湖町,字月浦,42.609138,140.791426,1469.0507471243016,,False
地方独立行政法人北海道立総合研究機構　農業研究本部　北見農業試験場,北海道,訓子府町,字高園,43.752559,143.718753,1534.8409628565907,,False
公益財団法人核物質管理センター　六ヶ所保障措置センター,青森県,六ヶ所村,大字尾駮,40.97993,141.346314,1702.2071869893578,,False
星槎大学,北海道,芦別市,緑泉町,43.459416,142.166334,1752.5187674308866,,False
北里大学　海洋生命科学部,岩手県,大船渡市,三陸町越喜来字烏頭,39.114056,141.872951,1782.3781126136817,,False
北里大学　大学院　海洋生命科学研究科,岩手県,大船渡市,三陸町越喜来字烏頭,39.114056,141.872951,1782.3781126136817,,False
沖縄県農業研究センター　石垣支所,沖縄県,石垣市,字真栄里,24.381968,124.191533,1854.533498740895,,True
新潟大学　農学部　附属フィールド科学教育研究センター　森林生態部佐渡ステーション,新潟県,佐渡市,小田,38.230899,138.386555,1915.372649043494,,True
愛媛県農林水産研究所　水産研究センター　魚類検査室,愛媛県,宇和島市,下波,33.169218,132.439487,1988.6352255593497,,False
