name,pref,city,district,latitude,longitude,urban_point,in_mesh_point,is_island
根室線 初田牛駅,北海道,根室市,初田牛,43.20456,145.322745,241.2930767297522,6445624542,False
宗谷線 安牛駅,北海道,天塩町,東産士,44.949615,141.89423499999998,253.52164942467843,,False
宗谷線 歌内駅,北海道,中川町,字歌内,44.880444999999995,142.052125,267.1528703156376,6742205431,False
宗谷線 豊清水駅,北海道,美深町,字楠,44.63955,142.27026,276.06939237611584,,False
宗谷線 糠南駅,北海道,天塩町,辰子丑,44.92079045440813,142.00098500533556,276.42584257411653,,False
宗谷線 雄信内駅,北海道,幌延町,字雄興,44.911535,141.9356,289.8788309168687,,False
宗谷線 下沼駅,北海道,幌延町,字下沼,45.03723000000001,141.758205,302.94345899349617,,False
宗谷線 天塩川温泉駅,北海道,音威子府村,字咲来,44.665075,142.25872,311.35003856754213,,False
宗谷線 南幌延駅,北海道,天塩町,東産士,44.965180000000004,141.884875,341.41120411662,,False
宗谷線 徳満駅,北海道,豊富町,字徳満,45.14584467621861,141.75105894577888,354.9440367727105,6741567013,False
宗谷線 上幌延駅,北海道,天塩町,作返,44.985715,141.88103999999998,368.5879888758029,6741378014,False
宗谷線 筬島駅,北海道,音威子府村,字物満内,44.738884999999996,142.19785000000002,383.7542268668634,6742018542,False
根室線 上厚内駅,北海道,浦幌町,上厚内,42.83186,143.749825,456.8021636100411,6443159944,False
宗谷線 抜海駅,北海道,稚内市,大字抜海村字バッカイ,45.31669999999999,141.644695,511.37009509496295,,False
釧網線 五十石駅,北海道,標茶町,五十石,43.238755,144.545545,594.7255119344652,6444648341,False
釧網線 原生花園駅,北海道,小清水町,字浜小清水,43.94102,144.41439,601.5173033836675,,False
函館線 北豊津駅,北海道,長万部町,字豊津,42.400954999999996,140.29787,602.4497524373028,6340428322,False
宗谷線 咲来駅,北海道,音威子府村,字咲来,44.692703980940394,142.2675619284919,605.7172272723392,6742023112,False
根室線 尺別駅,北海道,釧路市,音別町海光３丁目,42.869195,143.90425,610.0433271643159,,False
宗谷線 紋穂内駅,北海道,美深町,字紋穂内,44.538825,142.333555,632.8713355594322,6642624641,False
根室線 別当賀駅,北海道,根室市,別当賀,43.21842,145.42362,648.1356333505454,6445636322,False
根室線 糸魚沢駅,北海道,厚岸町,糸魚沢,43.103575,144.925535,660.6621606288674,6444572413,False
根室線 古瀬駅,北海道,白糠町,白糠西五条北２丁目,42.947855000000004,144.00856,675.4777289015655,,False
函館線 蕨岱駅,北海道,長万部町,字蕨岱,42.62635000000001,140.31336,686.4975122047946,6340725511,False
根室線 直別駅,北海道,釧路市,音別町直別,42.85223,143.86367,735.7631179248478,,False
室蘭線 小幌駅,北海道,豊浦町,字礼文華,42.58968797566964,140.5373500437504,740.3441122984107,,False
釧網線 茅沼駅,北海道,標茶町,茅沼,43.202124999999995,144.503775,742.0526227793824,6444644014,False
宗谷線 北星駅,北海道,名寄市,智恵文中央,44.441485,142.42798,787.4215095808862,,False
石勝線 トマム駅,北海道,占冠村,字中トマム,43.056039999999996,142.611155,811.2129296653609,,False
