name,pref,city,district,latitude,longitude,urban_point,in_mesh_point,is_island
根室線 初田牛駅,北海道,根室市,初田牛,43.20456,145.322745,237.319847557487,,False
宗谷線 安牛駅,北海道,天塩町,東産士,44.949615,141.89423499999998,242.36091425188738,,False
宗谷線 雄信内駅,北海道,幌延町,字雄興,44.911535,141.9356,253.87659105611755,,False
宗谷線 豊清水駅,北海道,美深町,字楠,44.63955,142.27026,259.87030628897713,,False
宗谷線 歌内駅,北海道,中川町,字歌内,44.880444999999995,142.052125,267.46985462312085,,False
宗谷線 糠南駅,北海道,天塩町,辰子丑,44.92079045440813,142.00098500533556,268.2591427740433,,False
宗谷線 下沼駅,北海道,幌延町,字下沼,45.03723000000001,141.758205,289.58808572423953,,False
宗谷線 天塩川温泉駅,北海道,音威子府村,字咲来,44.665075,142.25872,307.08252267432766,,False
宗谷線 南幌延駅,北海道,天塩町,東産士,44.965180000000004,141.884875,319.71977442238676,,False
宗谷線 上幌延駅,北海道,天塩町,作返,44.985715,141.88103999999998,331.1375822927436,6741378014,False
宗谷線 徳満駅,北海道,豊富町,字徳満,45.14584467621861,141.75105894577888,344.69296429298504,6741567013,False
宗谷線 筬島駅,北海道,音威子府村,字物満内,44.738884999999996,142.19785000000002,388.72004612331034,,False
根室線 糸魚沢駅,北海道,厚岸町,糸魚沢,43.103575,144.925535,455.8561807125465,6444572413,False
根室線 上厚内駅,北海道,浦幌町,上厚内,42.83186,143.749825,477.54713410958914,,False
宗谷線 咲来駅,北海道,音威子府村,字咲来,44.692703980940394,142.2675619284919,483.63772603035767,6742023112,False
根室線 別当賀駅,北海道,根室市,別当賀,43.21842,145.42362,508.1133714409424,6445636322,False
宗谷線 抜海駅,北海道,稚内市,大字抜海村字バッカイ,45.31669999999999,141.644695,519.3227456902056,,False
釧網線 五十石駅,北海道,標茶町,五十石,43.238755,144.545545,531.2804103280232,6444648341,False
釧網線 原生花園駅,北海道,小清水町,字浜小清水,43.94102,144.41439,557.270501944794,,False
根室線 尺別駅,北海道,釧路市,音別町海光三丁目,42.869195,143.90425,573.1801945161479,,False
宗谷線 恩根内駅,北海道,美深町,字恩根内,44.5985,142.309485,618.1367657712183,6642721444,False
函館線 北豊津駅,北海道,長万部町,字豊津,42.400954999999996,140.29787,641.0255496859506,6340428322,False
根室線 古瀬駅,北海道,白糠町,白糠西五条北二丁目,42.947855000000004,144.00856,646.4866642314131,,False
函館線 蕨岱駅,北海道,長万部町,字蕨岱,42.62635000000001,140.31336,651.4459454891321,,False
根室線 直別駅,北海道,釧路市,音別町直別,42.85223,143.86367,677.2336257970363,,False
室蘭線 小幌駅,北海道,豊浦町,字礼文華,42.58968797566964,140.5373500437504,712.6303513410958,,False
宗谷線 紋穂内駅,北海道,美深町,字紋穂内,44.538825,142.333555,719.6909923431003,,False
宗谷線 北星駅,北海道,名寄市,智恵文中央,44.441485,142.42798,728.2374305232067,,False
